NAME_KURZ,terrace
03b_OSDS_undiff_1800_780_ka,"7588"
03ba_ODM,"9548"
06a_HDS_Donau_Biber_1800_780_ka,"1302"
10a_Hoehenschotter,"10436"
03bb_ODG,"9061"
03bb_ODG,"9496"
10a_Hoehenschotter,"6632"
03bb_ODG,"8940"
03bb_ODG,"9152"
03ba_ODM,"7708"
03c_TDS_Mindel_Guenz_1800_780_ka,"1178"
03ba_ODM,"7284"
10a_Hoehenschotter,"6840"
03ba_ODM,"7865"
03b_OSDS_undiff_1800_780_ka,"7656"
03ba_ODM,"9047"
03bb_ODG,"9126"
03bb_ODG,"8797"
03c_TDS_Mindel_Guenz_1800_780_ka,"1184"
03bb_ODG,"9353"
03ba_ODM,"9624"
03bb_ODG,"9009"
03ba_ODM,"8591"
03ba_ODM,"9782"
03bb_ODG,"8665"
03bb_ODG,"8771"
03ba_ODM,"9768"
03bb_ODG,"9674"
03ba_ODM,"9684"
03ba_ODM,"9794"
03ba_ODM,"9517"
03c_TDS_Mindel_Guenz_1800_780_ka,"1239"
03bb_ODG,"7362"
06a_HDS_Donau_Biber_1800_780_ka,"1297"
03ba_ODM,"8811"
03bb_ODG,"9728"
03bb_ODG,"9066"
10a_Hoehenschotter,"10461"
03ba_ODM,"8387"
03ba_ODM,"9593"
03ba_ODM,"8098"
03bb_ODG,"8828"
03ba_ODM,"8280"
03bc_ODD,"8930"
03ba_ODM,"7995"
03ba_ODM,"9169"
03bb_ODG,"8923"
03ba_ODM,"9006"
03ba_ODM,"9619"
03bb_ODG,"9135"
03bb_ODG,"8802"
03c_TDS_Mindel_Guenz_1800_780_ka,"1193"
03ba_ODM,"8306"
03ba_ODM,"9737"
03bb_ODG,"9014"
03ba_ODM,"8582"
03bb_ODG,"9709"
10a_Hoehenschotter,"10473"
03ba_ODM,"7850"
03ba_ODM,"9024"
03bb_ODG,"8670"
03ba_ODM,"9653"
03ba_ODM,"9474"
03bb_ODG,"8988"
03ba_ODM,"9197"
10a_Hoehenschotter,"6724"
03bb_ODG,"9657"
03c_TDS_Mindel_Guenz_1800_780_ka,"1244"
03ba_ODM,"7357"
03ba_ODM,"7807"
03ba_ODM,"8352"
06a_HDS_Donau_Biber_1800_780_ka,"1304"
03c_TDS_Mindel_Guenz_1800_780_ka,"1250"
03bb_ODG,"9298"
03ba_ODM,"7383"
03bb_ODG,"9075"
03ba_ODM,"9431"
03bb_ODG,"9510"
10a_Hoehenschotter,"9827"
03ba_ODM,"8975"
03bb_ODG,"9166"
06a_HDS_Donau_Biber_1800_780_ka,"1282"
03bb_ODG,"9605"
03ba_ODM,"8836"
03bb_ODG,"9049"
03c_TDS_Mindel_Guenz_1800_780_ka,"6003"
10a_Hoehenschotter,"10311"
03bb_ODG,"9367"
03bb_ODG,"9140"
03c_TDS_Mindel_Guenz_1800_780_ka,"1198"
03ba_ODM,"8894"
03bc_ODD,"8913"
03ba_ODM,"9443"
03bb_ODG,"9714"
10a_Hoehenschotter,"10466"
03ba_ODM,"7853"
03bb_ODG,"9597"
03bb_ODG,"9114"
03c_TDS_Mindel_Guenz_1800_780_ka,"1204"
03ba_ODM,"8303"
03ba_ODM,"7429"
03bb_ODG,"9688"
03ba_ODM,"7314"
03bb_ODG,"8653"
03c_TDS_Mindel_Guenz_1800_780_ka,"6960"
03bb_ODG,"9088"
03bb_ODG,"9662"
03c_TDS_Mindel_Guenz_1800_780_ka,"1221"
06a_HDS_Donau_Biber_1800_780_ka,"1266"
03ba_ODM,"8222"
03ba_ODM,"7929"
03bb_ODG,"9333"
10a_Hoehenschotter,"10252"
03bb_ODG,"8733"
03bc_ODD,"9753"
03c_TDS_Mindel_Guenz_1800_780_ka,"1259"
03ba_ODM,"8240"
03bb_ODG,"9519"
10a_Hoehenschotter,"6643"
10a_Hoehenschotter,"10278"
03c_TDS_Mindel_Guenz_1800_780_ka,"18684"
03bb_ODG,"9398"
03ba_ODM,"8966"
03c_TDS_Mindel_Guenz_1800_780_ka,"7015"
06a_HDS_Donau_Biber_1800_780_ka,"1293"
03bb_ODG,"9054"
03bb_ODG,"9493"
10a_Hoehenschotter,"10328"
03ba_ODM,"8439"
03ba_ODM,"9016"
03bb_ODG,"9149"
03bb_ODG,"8816"
03c_TDS_Mindel_Guenz_1800_780_ka,"1175"
03bb_ODG,"9028"
03ba_ODM,"8592"
03b_OSDS_undiff_1800_780_ka,"7546"
03ba_ODM,"7283"
03bb_ODG,"8684"
